CASE,OFFENSE CODE,OFFENSE DESCRIPTION,REPORT DATE,OCC DATE,DAY OF WEEK,LOCATION,Location 1
SL201297737,2404-0,STOLEN VEHICLE,06/10/2012 12:58:00 PM,06/10/2012 12:15:00 AM,1,"2200 S FOOTHILL DR
Salt lake City, Utah
(40.72348132200045, -111.81333692699968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012790,2499-14,STOLEN VEHICLE,01/02/2012 01:48:00 PM,01/02/2012 01:48:00 PM,2,"1500 E RAMONA AVE
Salt lake City, Utah
(40.72825542300046, -111.84785790499967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012118,2499-13,STOLEN VEHICLE,01/01/2012 02:24:00 AM,01/01/2012 02:24:00 AM,1,"2600 S HIGHLAND DR
Salt lake City, Utah
(40.71535082100047, -111.85606468799966)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012167304,2499-17,STOLEN VEHICLE,09/23/2012 01:58:00 AM,09/23/2012 01:58:00 AM,1,"1000 E 2100 S
Salt lake City, Utah
(40.72537602700049, -111.86237019699968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201279872,2499-14,STOLEN VEHICLE,05/13/2012 10:00:00 AM,05/13/2012 09:33:00 AM,1,"1100 S 300 W
Salt lake City, Utah
(40.744809699000484, -111.89970910799968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012117332,2499-13,STOLEN VEHICLE,07/09/2012 12:20:00 PM,07/09/2012 12:20:00 PM,2,"1700 S 700 E
Salt lake City, Utah
(40.73343036500046, -111.87121302599968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201268546,2499-13,STOLEN VEHICLE,04/25/2012 10:18:00 AM,04/24/2012 03:30:00 PM,3,"800 S 800 W
Salt lake City, Utah
(40.751843729000484, -111.91410226699969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012216414,2499-13,STOLEN VEHICLE,12/20/2012 12:34:00 PM,12/20/2012 12:00:00 AM,5,"1000 S MAIN ST
Salt lake City, Utah
(40.74728530800047, -111.89109220399968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012175417,2499-17,STOLEN VEHICLE,10/06/2012 10:50:00 AM,10/06/2012 12:00:00 AM,7,"00 N F ST
Salt lake City, Utah
(40.77723148600046, -111.87604750099968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201286173,2499-13,STOLEN VEHICLE,05/23/2012 09:49:00 AM,05/23/2012 03:30:00 AM,4,"1900 S 4130 W
Salt lake City, Utah
(40.7290127600005, -111.98985379299967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012174772,2499-13,STOLEN VEHICLE,10/05/2012 08:25:00 AM,10/05/2012 08:25:00 AM,6,"900 N TURIN DR
Salt lake City, Utah
(40.78947830700048, -111.9385180699997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012152356,2499-14,STOLEN VEHICLE,08/30/2012 08:02:00 PM,08/30/2012 08:02:00 PM,5,"1300 S WASATCH DR
Salt lake City, Utah
(40.742194680000466, -111.82119607199968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012211353,2499-13,STOLEN VEHICLE,12/10/2012 10:37:00 AM,12/10/2012 09:00:00 AM,2,"600 S 1200 E
Salt lake City, Utah
(40.75623271900048, -111.8567472259997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012137856,2499-13,STOLEN VEHICLE,08/09/2012 06:40:00 AM,08/09/2012 12:30:00 AM,5,"100 S 1200 E
Salt lake City, Utah
(40.76710425500045, -111.85686582399967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012216824,2499-17,STOLEN VEHICLE,12/21/2012 05:43:00 AM,12/21/2012 05:43:00 AM,6,"1200 N REDWOOD RD
Salt lake City, Utah
(40.79498040800047, -111.93919375499968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012129101,2499-13,STOLEN VEHICLE,07/26/2012 04:39:00 PM,07/26/2012 02:00:00 PM,5,"100 E YALE AVE
Salt lake City, Utah
(40.74539434600047, -111.88810919499969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012123812,2499-17,STOLEN VEHICLE,07/19/2012 06:50:00 AM,07/18/2012 10:30:00 PM,4,"1700 S EDISON ST
Salt lake City, Utah
(40.73343050800048, -111.88677510999969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012221517,2499-17,STOLEN VEHICLE,12/31/2012 02:56:00 PM,12/31/2012 02:56:00 PM,2,"800 S 900 W
Salt lake City, Utah
(40.751843729000484, -111.9168656009997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012206716,2499-17,STOLEN VEHICLE,12/01/2012 02:32:00 PM,12/01/2012 02:30:00 AM,7,"800 W OURAY AVE
Salt lake City, Utah
(40.779026769000495, -111.91407485099967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012120046,2499-17,STOLEN VEHICLE,07/13/2012 02:46:00 PM,07/11/2012 07:00:00 AM,4,"1300 W DUPONT AVE
Salt lake City, Utah
(40.79789470300045, -111.92865327899972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012217932,2499-17,STOLEN VEHICLE,12/23/2012 11:15:00 AM,12/23/2012 02:30:00 AM,1,"800 W 700 N
Salt lake City, Utah
(40.78459808400049, -111.9140968589997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012160227,2499-13,STOLEN VEHICLE,09/11/2012 11:16:00 PM,09/11/2012 10:00:00 PM,3,"500 E 100 S
Salt lake City, Utah
(40.767147311000485, -111.8766995629997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201281187,2499-14,STOLEN VEHICLE,05/15/2012 12:53:00 PM,05/15/2012 12:53:00 PM,3,"100 W 600 S
Salt lake City, Utah
(40.75632706100049, -111.89405821499969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012207673,2499-17,STOLEN VEHICLE,12/03/2012 12:39:00 PM,12/03/2012 12:39:00 PM,2,"1500 S MAIN ST
Salt lake City, Utah
(40.7366717430005, -111.8911044779997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012177614,2499-13,STOLEN VEHICLE,10/10/2012 10:22:00 AM,10/10/2012 10:22:00 AM,4,"200 E 1ST AVE
Salt lake City, Utah
(40.77054518800048, -111.88342752799969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20124096,2499-13,STOLEN VEHICLE,01/08/2012 10:52:00 AM,01/08/2012 10:52:00 AM,1,"1500 S 1200 W
Salt lake City, Utah
(40.73648056000047, -111.92587879099972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012183046,2499-13,STOLEN VEHICLE,10/19/2012 01:08:00 PM,10/16/2012 08:00:00 AM,3,"1000 S STATE ST
Salt lake City, Utah
(40.747250590000476, -111.88826635599969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20123252,2499-13,STOLEN VEHICLE,01/06/2012 07:52:00 PM,01/05/2012 02:00:00 PM,5,"1100 E 100 S
Salt lake City, Utah
(40.76715553000048, -111.85944667699971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012121515,2499-13,STOLEN VEHICLE,07/15/2012 04:25:00 PM,07/15/2012 04:25:00 PM,1,"1400 E 2100 S
Salt lake City, Utah
(40.72583603200047, -111.8507281039997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201252829,2499-13,STOLEN VEHICLE,03/30/2012 09:41:00 PM,03/30/2012 09:41:00 PM,6,"300 W 200 S
Salt lake City, Utah
(40.765028903000484, -111.89981517499967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012118562,2499-13,STOLEN VEHICLE,07/11/2012 11:26:00 AM,07/11/2012 11:26:00 AM,4,"300 S REEVES TE
Salt lake City, Utah
(40.762104001000466, -111.86907243099967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012115357,2499-14,STOLEN VEHICLE,07/06/2012 12:16:00 PM,07/06/2012 12:16:00 PM,6,"1600 S SNOW QUEEN PL/801 SOUTH STATE
Salt lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012294,2499-13,STOLEN VEHICLE,01/01/2012 12:27:00 PM,01/01/2012 12:27:00 PM,1,"300 S 600 W
Salt lake City, Utah
(40.762390422000465, -111.9082065929997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201264698,2499-13,STOLEN VEHICLE,04/19/2012 02:31:00 PM,04/18/2012 09:00:00 PM,4,"200 E HERBERT AVE
Salt lake City, Utah
(40.74643315600048, -111.88523851099967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201228064,2499-15,STOLEN VEHICLE,02/18/2012 12:53:00 PM,02/18/2012 12:53:00 PM,7,"400 W 900 S
Salt lake City, Utah
(40.749800612000456, -111.9027241979997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012178170,2499-17,STOLEN VEHICLE,10/11/2012 08:11:00 AM,10/11/2012 05:00:00 AM,5,"600 N WALL ST
Salt lake City, Utah
(40.7825451650005, -111.89457751899971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012143764,2499-13,STOLEN VEHICLE,08/17/2012 07:57:00 PM,08/15/2012 03:00:00 PM,4,"1000 S 800 W
Salt lake City, Utah
(40.74731207700046, -111.9140705369997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201235817,2499-14,STOLEN VEHICLE,03/02/2012 08:28:00 PM,03/02/2012 08:28:00 PM,6,"2800 W ANDREW AVE
Salt lake City, Utah
(40.73672795300047, -111.96004083799971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012205067,2404-0,STOLEN VEHICLE,11/28/2012 07:31:00 PM,11/28/2012 06:00:00 AM,4,"1300 W 500 S
Salt lake City, Utah
(40.758488129000455, -111.92865416899969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201281892,2499-16,STOLEN VEHICLE,05/16/2012 02:19:00 PM,05/16/2012 02:19:00 PM,4,"700 N TERMINAL NORTHBOUND DR
Salt lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012148017,2499-13,STOLEN VEHICLE,08/24/2012 09:26:00 AM,08/24/2012 09:26:00 AM,6,"100 N REDWOOD RD
Salt lake City, Utah
(40.77173005500049, -111.93923315599972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012214915,2404-0,STOLEN VEHICLE,12/17/2012 12:59:00 PM,11/19/2012 12:00:00 AM,2,"700 S 300 E
Salt lake City, Utah
(40.75405378300047, -111.8825243979997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201267911,2499-17,STOLEN VEHICLE,04/24/2012 11:12:00 AM,04/24/2012 08:30:00 AM,3,"1400 S FOOTHILL DR
Salt lake City, Utah
(40.74005064500045, -111.82594186399967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012127375,2499-14,STOLEN VEHICLE,07/24/2012 10:13:00 AM,07/24/2012 10:13:00 AM,3,"6600 W 2100 S
Salt lake City, Utah
(40.721312853000484, -112.04939725199966)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012221580,2499-17,STOLEN VEHICLE,12/31/2012 05:30:00 PM,12/31/2012 07:30:00 AM,2,"00 S 500 W
Salt lake City, Utah
(40.761031226000455, -111.9054888069997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201286135,2404-64,STOLEN VEHICLE,05/23/2012 08:52:00 AM,05/23/2012 03:30:00 AM,4,"500 W PICKETT CIR
Salt lake City, Utah
(40.73099840100048, -111.90554643899969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201280559,2499-13,STOLEN VEHICLE,05/14/2012 02:09:00 PM,05/14/2012 12:45:00 PM,2,"600 E 4TH AVE
Salt lake City, Utah
(40.77394587600048, -111.87144878899971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012176300,2499-17,STOLEN VEHICLE,10/07/2012 11:49:00 PM,10/07/2012 11:49:00 PM,1,"200 N SUN ARBOR TE
Salt lake City, Utah
(40.773896083000466, -111.94366229199971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012160619,2499-14,STOLEN VEHICLE,09/12/2012 05:34:00 PM,09/12/2012 05:34:00 PM,4,"2500 E BEACON DR
Salt lake City, Utah
(40.73840464700049, -111.81931572999969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201257881,2499-13,STOLEN VEHICLE,04/08/2012 10:35:00 AM,04/08/2012 10:35:00 AM,1,"1600 W BRIAR ROSE PL
Salt lake City, Utah
(40.733841853000456, -111.9372453799997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012208574,2499-17,STOLEN VEHICLE,12/05/2012 06:43:00 AM,12/05/2012 06:00:00 AM,4,"100 E WESTMINSTER AVE
Salt lake City, Utah
(40.728645852000454, -111.88811638199968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012193804,2499-12,STOLEN VEHICLE,11/07/2012 09:53:00 AM,11/07/2012 09:53:00 AM,4,"700 N TERMINAL NORTHBOUND DR
Salt lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012145713,2499-13,STOLEN VEHICLE,08/20/2012 08:10:00 PM,08/17/2012 04:00:00 PM,6,"1800 S 1200 E
Salt lake City, Utah
(40.73016059700046, -111.85684142499969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201243053,2499-13,STOLEN VEHICLE,03/15/2012 09:46:00 AM,03/15/2012 05:00:00 AM,5,"700 W 2100 S
Salt lake City, Utah
(40.72562040800045, -111.91125813699966)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201235338,2499-13,STOLEN VEHICLE,03/01/2012 11:57:00 PM,03/01/2012 11:57:00 PM,5,"1800 W INDEPENDENCE BLVD
Salt lake City, Utah
(40.801798061000454, -111.94243840399969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012200310,2499-17,STOLEN VEHICLE,11/19/2012 09:33:00 AM,11/17/2012 05:00:00 PM,7,"1600 S GRAMERCY RD
Salt lake City, Utah
(40.7351851140005, -111.99258359099969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012120710,2499-14,STOLEN VEHICLE,07/14/2012 12:01:00 PM,07/14/2012 12:01:00 PM,7,"3500 S 300 E
Salt lake City, Utah
(40.69540136600045, -111.8827768859997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012171082,2499-13,STOLEN VEHICLE,09/29/2012 08:53:00 AM,09/29/2012 08:53:00 AM,7,"700 S EMERY ST
Salt lake City, Utah
(40.75402251100047, -111.92476147199972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012110869,2499-14,STOLEN VEHICLE,06/30/2012 02:24:00 AM,06/30/2012 02:24:00 AM,7,"200 W 300 S
Salt lake City, Utah
(40.76292884200046, -111.89695479799968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012185022,2499-13,STOLEN VEHICLE,10/23/2012 02:43:00 AM,10/22/2012 08:00:00 PM,2,"100 W 300 N
Salt lake City, Utah
(40.77601803100049, -111.89437793199971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012126569,2499-17,STOLEN VEHICLE,07/23/2012 08:23:00 AM,07/23/2012 01:00:00 AM,2,"1200 N CAPISTRANO DR
Salt lake City, Utah
(40.79499277400049, -111.92383216599967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201255667,2499-13,STOLEN VEHICLE,04/04/2012 01:37:00 PM,04/04/2012 10:00:00 AM,4,"1700 W 500 N
Salt lake City, Utah
(40.7803379450005, -111.9422146709997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012218120,2499-13,STOLEN VEHICLE,12/23/2012 07:36:00 PM,12/23/2012 07:36:00 PM,1,"900 N CORNELL ST
Salt lake City, Utah
(40.789231164000455, -111.9345611659997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012132828,2499-16,STOLEN VEHICLE,08/01/2012 10:49:00 AM,08/01/2012 10:49:00 AM,4,"400 E DOWNINGTON AVE
Salt lake City, Utah
(40.73062747300048, -111.87951268299969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201227313,2499-14,STOLEN VEHICLE,02/17/2012 10:26:00 AM,02/17/2012 10:26:00 AM,6,"1500 W 700 S
Salt lake City, Utah
(40.75413404900047, -111.93298221199967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012217821,2499-13,STOLEN VEHICLE,12/23/2012 12:53:00 AM,12/23/2012 12:53:00 AM,1,"1200 W 400 S
Salt lake City, Utah
(40.74281084900048, -111.87964728799972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201240891,2499-13,STOLEN VEHICLE,03/11/2012 05:37:00 AM,03/11/2012 05:37:00 AM,1,"1100 W FREMONT AVE
Salt lake City, Utah
(40.74502130900049, -111.92239564399966)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012149456,2499-17,STOLEN VEHICLE,08/26/2012 08:23:00 AM,08/25/2012 09:00:00 PM,7,"1400 W GLENROSE DR
Salt lake City, Utah
(40.74512750500048, -111.93125154499967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012114530,2499-13,STOLEN VEHICLE,07/05/2012 10:26:00 AM,07/05/2012 10:26:00 AM,5,"900 N SIR MICHAEL DR
Salt lake City, Utah
(40.78910274000049, -111.94701387899971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012106095,2499-13,STOLEN VEHICLE,06/23/2012 06:53:00 AM,06/23/2012 06:53:00 AM,7,"1500 W SECRET GARDEN PL
Salt lake City, Utah
(40.734720808000475, -111.93600015999971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012118348,2499-13,STOLEN VEHICLE,07/10/2012 11:03:00 PM,07/10/2012 08:00:00 PM,3,"2200 S HIGHLAND DR
Salt lake City, Utah
(40.723005429000466, -111.85901107299969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201266538,2499-16,STOLEN VEHICLE,04/22/2012 06:18:00 AM,04/22/2012 06:18:00 AM,1,"1200 E 2100 S
Salt lake City, Utah
(40.72537602700049, -111.8566575369997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20129915,2499-16,STOLEN VEHICLE,01/18/2012 02:17:00 AM,01/18/2012 02:17:00 AM,4,"1000 S DENVER ST
Salt lake City, Utah
(40.747250590000476, -111.8782864429997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012131168,2499-14,STOLEN VEHICLE,07/29/2012 07:09:00 PM,07/29/2012 07:09:00 PM,1,"1800 W QUARTER HORSE AVE
Salt lake City, Utah
(40.80655861000048, -111.9428616569997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012141546,2499-16,STOLEN VEHICLE,08/14/2012 04:58:00 PM,08/14/2012 04:58:00 PM,3,"400 E REDONDO AVE
Salt lake City, Utah
(40.72627536400046, -111.87951688599969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012150644,2499-14,STOLEN VEHICLE,08/28/2012 08:28:00 AM,08/28/2012 08:28:00 AM,3,"1200 S 800 W
Salt lake City, Utah
(40.74283043800045, -111.91411664699967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012100633,2499-13,STOLEN VEHICLE,06/15/2012 07:39:00 AM,06/14/2012 06:00:00 PM,5,"500 E 4TH AVE
Salt lake City, Utah
(40.77394587600048, -111.87442911399967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012158336,2499-15,STOLEN VEHICLE,09/08/2012 10:03:00 PM,09/08/2012 06:00:00 PM,7,"300 N 800 W
Salt lake City, Utah
(40.77593203400045, -111.9139488139997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012122199,2499-13,STOLEN VEHICLE,07/16/2012 05:39:00 PM,07/16/2012 06:30:00 AM,2,"400 S 900 E
Salt lake City, Utah
(40.7604835730005, -111.8653719559997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201230901,2499-14,STOLEN VEHICLE,02/23/2012 02:34:00 PM,02/23/2012 02:34:00 PM,5,"2000 S LAURELHURST DR
Salt lake City, Utah
(40.72679243100049, -111.8177631589997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201213343,2499-17,STOLEN VEHICLE,01/24/2012 05:50:00 AM,01/24/2012 05:50:00 AM,3,"700 N 900 W
Salt lake City, Utah
(40.78466103700049, -111.91681206799967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
